GO_terms	Class	Description
GO:0001400	CC	mating projection base
GO:0001404	BP	obsolete invasive growth
GO:0001502	BP	cartilage condensation
GO:0001505	BP	obsolete regulation of neurotransmitter levels
GO:0001506	BP	obsolete neurotransmitter biosynthetic process and storage
GO:0001507	BP	acetylcholine catabolic process in synaptic cleft
GO:0001509	MF	obsolete legumain activity
GO:0001511	MF	obsolete fibrillin
GO:0001524	MF	obsolete globin
GO:0001526	BP	obsolete proteoglycan sulfate transfer
GO:0001528	MF	obsolete elastin
GO:0001529	CC	obsolete elastin
GO:0001538	MF	obsolete calcium-dependent cell adhesion molecule activity
GO:0001541	BP	ovarian follicle development
GO:0001542	BP	ovulation from ovarian follicle
GO:0001543	BP	ovarian follicle rupture
GO:0001544	BP	initiation of primordial ovarian follicle growth
GO:0001545	BP	primary ovarian follicle growth
GO:0001546	BP	preantral ovarian follicle growth
GO:0001547	BP	antral ovarian follicle growth
GO:0001548	BP	follicular fluid formation in ovarian follicle antrum
GO:0001550	BP	ovarian cumulus expansion
GO:0001551	BP	ovarian follicle endowment
GO:0001552	BP	ovarian follicle atresia
GO:0001555	BP	oocyte growth
GO:0001556	BP	oocyte maturation
GO:0001557	BP	obsolete metabolic process resulting in cell growth
GO:0001559	BP	obsolete regulation of cell growth by detection of nuclear:cytoplasmic ratio
GO:0001562	BP	response to protozoan
GO:0001563	BP	detection of protozoan
GO:0001564	BP	obsolete resistance to pathogenic protozoa
GO:0001568	BP	blood vessel development
GO:0001569	BP	branching involved in blood vessel morphogenesis
GO:0001577	MF	obsolete galectin
GO:0001580	BP	detection of chemical stimulus involved in sensory perception of bitter taste
GO:0001581	BP	detection of chemical stimulus involved in sensory perception of sour taste
GO:0001582	BP	detection of chemical stimulus involved in sensory perception of sweet taste
GO:0001583	BP	detection of chemical stimulus involved in sensory perception of salty taste
GO:0001584	MF	obsolete rhodopsin-like receptor activity
GO:0001597	MF	obsolete apelin-like receptor
GO:0001598	MF	obsolete chemokine receptor-like receptor activity
GO:0001602	MF	pancreatic polypeptide receptor activity
GO:0001603	MF	obsolete vasopressin-like receptor activity
GO:0001606	MF	obsolete GPR37/endothelin B-like receptor activity
GO:0001615	MF	obsolete thyrotropin releasing hormone and secretagogue-like receptors activity
GO:0001617	MF	obsolete growth hormone secretagogue-like receptor activity
GO:0001618	MF	virus receptor activity
GO:0001619	MF	obsolete lysosphingolipid and lysophosphatidic acid receptor activity
GO:0001620	MF	obsolete rhodopsin-like receptor activity
GO:0001627	MF	obsolete leucine-rich G-protein receptor-like receptor activity
GO:0001628	MF	obsolete gastropyloric receptor activity
GO:0001629	MF	obsolete G-protein receptor 45-like receptor activity
GO:0001630	MF	obsolete GP40-like receptor activity
GO:0001633	MF	obsolete secretin-like receptor activity
GO:0001636	MF	obsolete corticotrophin-releasing factor gastric inhibitory peptide-like receptor activity
GO:0001638	MF	obsolete secretin-like receptor activity
GO:0001645	MF	obsolete metabotropic glutamate, GABA-B-like receptor activity 
GO:0001649	BP	osteoblast differentiation
GO:0001661	BP	conditioned taste aversion
GO:0001679	BP	neural tube formation
GO:0001683	CC	obsolete axonemal dynein heavy chain
GO:0001684	CC	obsolete axonemal dynein intermediate chain
GO:0001685	CC	obsolete axonemal dynein intermediate light chain
GO:0001686	CC	obsolete axonemal dynein light chain
GO:0001687	CC	obsolete cytoplasmic dynein heavy chain
GO:0001688	CC	obsolete cytoplasmic dynein intermediate chain
GO:0001689	CC	obsolete cytoplasmic dynein intermediate light chain
GO:0001690	CC	obsolete cytoplasmic dynein light chain
GO:0001696	BP	gastric acid secretion
GO:0001697	BP	histamine-induced gastric acid secretion
GO:0001698	BP	gastrin-induced gastric acid secretion
GO:0001699	BP	acetylcholine-induced gastric acid secretion
GO:0001721	CC	obsolete intermediate filament associated protein
GO:0001722	CC	obsolete type I intermediate filament associated protein
GO:0001723	CC	obsolete type II intermediate filament associated protein
GO:0001724	CC	obsolete type III intermediate filament associated protein
GO:0001738	BP	morphogenesis of a polarized epithelium
GO:0001744	BP	insect visual primordium formation
GO:0001748	BP	insect visual primordium development
GO:0001753	BP	obsolete adult eye photoreceptor development (sensu Drosophila)
GO:0001755	BP	neural crest cell migration
GO:0001758	MF	retinal dehydrogenase activity
GO:0001764	BP	neuron migration
GO:0001767	BP	establishment of lymphocyte polarity
GO:0001768	BP	establishment of T cell polarity
GO:0001769	BP	establishment of B cell polarity
GO:0001771	BP	immunological synapse formation
GO:0001772	CC	immunological synapse
GO:0001776	BP	leukocyte homeostasis
GO:0001777	BP	T cell homeostatic proliferation
GO:0001782	BP	B cell homeostasis
GO:0001783	BP	B cell apoptotic process
GO:0001790	MF	polymeric immunoglobulin binding
GO:0001792	MF	polymeric immunoglobulin receptor activity
GO:0001822	BP	kidney development
GO:0001837	BP	epithelial to mesenchymal transition
GO:0001838	BP	embryonic epithelial tube formation
GO:0001839	BP	neural plate morphogenesis
GO:0001840	BP	neural plate development
GO:0001841	BP	neural tube formation
GO:0001842	BP	neural fold formation
GO:0001843	BP	neural tube closure
GO:0001844	BP	obsolete protein insertion into mitochondrial membrane involved in apoptotic signaling pathway
GO:0001848	MF	complement binding
GO:0001849	MF	complement component C1q complex binding
GO:0001850	MF	complement component C3a binding
GO:0001851	MF	complement component C3b binding
GO:0001852	MF	complement component iC3b binding
GO:0001853	MF	complement component C3dg binding
GO:0001854	MF	complement component C3d binding
GO:0001855	MF	complement component C4b binding
GO:0001856	MF	complement component C5a binding
GO:0001857	MF	complement component C1q receptor activity
GO:0001858	MF	complement component iC3b receptor activity
