GO_terms	Class	Description
GO:0051185	MF	obsolete coenzyme transmembrane transporter activity
GO:0051186	BP	obsolete cofactor metabolic process
GO:0051187	BP	obsolete cofactor catabolic process
GO:0051188	BP	obsolete cofactor biosynthetic process
GO:0051193	BP	obsolete regulation of cofactor metabolic process
GO:0051194	BP	obsolete positive regulation of cofactor metabolic process
GO:0051195	BP	obsolete negative regulation of cofactor metabolic process
GO:0051196	BP	obsolete regulation of coenzyme metabolic process
GO:0051197	BP	obsolete positive regulation of coenzyme metabolic process
GO:0051198	BP	obsolete negative regulation of coenzyme metabolic process
GO:0051199	BP	obsolete regulation of prosthetic group metabolic process
GO:0051200	BP	obsolete positive regulation of prosthetic group metabolic process
GO:0051214	BP	RNA virus induced gene silencing
GO:0051215	BP	DNA virus induced gene silencing
GO:0051216	BP	cartilage development
GO:0051249	BP	regulation of lymphocyte activation
GO:0051250	BP	negative regulation of lymphocyte activation
GO:0051251	BP	positive regulation of lymphocyte activation
GO:0051270	BP	obsolete regulation of cellular component movement
GO:0051272	BP	obsolete positive regulation of cellular component movement
GO:0051278	BP	fungal-type cell wall polysaccharide biosynthetic process
GO:0051357	BP	obsolete peptide cross-linking via 3-(2-methylthio)ethyl-6-(4-hydroxybenzylidene)-5-iminopiperazin-2-one
GO:0051358	BP	obsolete peptide cross-linking via 2-imino-glutamic acid 5-imidazolinone glycine
GO:0051359	BP	obsolete peptide cross-linking via 2-imino-methionine 5-imidazolinone glycine
GO:0051360	BP	obsolete peptide cross-linking via L-asparagine 5-imidazolinone glycine
GO:0051361	BP	obsolete peptide cross-linking via L-lysine 5-imidazolinone glycine
GO:0051362	BP	obsolete peptide cross-linking via 2-tetrahydropyridinyl-5-imidazolinone glycine
GO:0051370	MF	obsolete ZASP binding
GO:0051371	MF	muscle alpha-actinin binding
GO:0051386	BP	regulation of neurotrophin TRK receptor signaling pathway
GO:0051387	BP	negative regulation of neurotrophin TRK receptor signaling pathway
GO:0051388	BP	positive regulation of neurotrophin TRK receptor signaling pathway
GO:0051397	MF	obsolete N-terminal basic amino acid aminopeptidase activity
GO:0051398	MF	obsolete N-terminal lysine aminopeptidase activity
GO:0051399	MF	obsolete N-terminal arginine aminopeptidase activity
GO:0051402	BP	neuron apoptotic process
GO:0051404	MF	obsolete clostripain activity
GO:0051405	MF	obsolete microbial collagenase activity
GO:0051411	MF	obsolete ALP binding
GO:0051414	BP	response to cortisol
GO:0051416	MF	obsolete myotilin binding
GO:0051419	MF	obsolete nebulin binding
GO:0051420	MF	obsolete nebulette binding
GO:0051421	BP	obsolete regulation of endo-1,4-beta-xylanase activity 
GO:0051423	BP	obsolete positive regulation of endo-1,4-beta-xylanase activity 
GO:0051436	BP	obsolete negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle
GO:0051437	BP	obsolete positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition
GO:0051439	BP	obsolete regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle
GO:0051440	BP	obsolete regulation of ubiquitin-protein ligase activity involved in meiotic cell cycle
GO:0051441	BP	obsolete positive regulation of ubiquitin-protein ligase activity involved in meiotic cell cycle
GO:0051442	BP	obsolete negative regulation of ubiquitin-protein ligase activity involved in meiotic cell cycle
GO:0051462	BP	regulation of cortisol secretion
GO:0051463	BP	negative regulation of cortisol secretion
GO:0051464	BP	positive regulation of cortisol secretion
GO:0051482	BP	obsolete positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway
GO:0051487	BP	obsolete positive regulation of ubiquitin-protein ligase activity involved in meiotic cell cycle
GO:0051583	BP	dopamine uptake involved in synaptic transmission
GO:0051584	BP	regulation of dopamine uptake involved in synaptic transmission
GO:0051585	BP	negative regulation of dopamine uptake involved in synaptic transmission
GO:0051586	BP	positive regulation of dopamine uptake involved in synaptic transmission
GO:0051587	BP	inhibition of dopamine uptake involved in synaptic transmission
GO:0051607	BP	defense response to virus
GO:0051635	MF	obsolete bacterial cell surface binding
GO:0051636	MF	obsolete Gram-negative bacterial cell surface binding
GO:0051637	MF	obsolete Gram-positive bacterial cell surface binding
GO:0051662	BP	oocyte nucleus localization involved in oocyte dorsal/ventral axis specification
GO:0051663	BP	oocyte nucleus localization involved in oocyte dorsal/ventral axis specification
GO:0051699	MF	obsolete proline oxidase activity
GO:0051705	BP	obsolete multi-organism behavior
GO:0051706	BP	obsolete multi-organism process
GO:0051710	BP	obsolete regulation of cytolysis in another organism
GO:0051714	BP	obsolete positive regulation of cytolysis in another organism
GO:0051727	BP	obsolete cell cycle switching, meiotic to mitotic cell cycle 
GO:0051732	MF	obsolete polyribonucleotide kinase activity
GO:0051733	MF	obsolete polydeoxyribonucleotide kinase activity
GO:0051789	BP	obsolete response to protein
GO:0051802	BP	obsolete regulation of cytolysis in other organism involved in symbiotic interaction
GO:0051804	BP	obsolete positive regulation of cytolysis in other organism involved in symbiotic interaction
GO:0051811	BP	evasion of host immune response via modulation of host complement system
GO:0051814	BP	obsolete movement in other organism involved in symbiotic interaction
GO:0051815	BP	obsolete migration in other organism involved in symbiotic interaction
GO:0051821	BP	obsolete dissemination or transmission of organism from other organism involved in symbiotic interaction
GO:0051822	BP	obsolete dissemination or transmission of organism from other organism by vector involved in symbiotic interaction
GO:0051823	BP	regulation of synapse structural plasticity
GO:0051826	BP	negative regulation of synapse structural plasticity
GO:0051827	BP	obsolete growth or development on or near surface of other organism during symbiotic interaction
GO:0051829	BP	obsolete entry into host through natural portals
GO:0051831	BP	obsolete growth or development in other organism during symbiotic interaction
GO:0051835	BP	positive regulation of synapse structural plasticity
GO:0051839	BP	obsolete regulation by host of cytolysis of symbiont cells
GO:0051841	BP	obsolete positive regulation by host of cytolysis of symbiont cells
GO:0051842	BP	obsolete evasion or tolerance of symbiont immune response
GO:0051843	BP	obsolete evasion or tolerance of symbiont defense response
GO:0051845	BP	obsolete passive evasion of symbiont immune response
GO:0051846	BP	obsolete active evasion of symbiont immune response
GO:0051847	BP	obsolete active evasion of symbiont immune response via regulation of symbiont complement system
GO:0051848	BP	obsolete active evasion of symbiont immune response via regulation of symbiont cytokine network
GO:0051849	BP	obsolete active evasion of symbiont immune response via regulation of symbiont antigen processing and presentation
GO:0051853	BP	obsolete induction in symbiont of tumor, nodule, or growth 
GO:0051854	BP	obsolete induction in symbiont of tumor, nodule, or growth containing transformed cells 
GO:0051857	BP	obsolete growth or development of organism on or near symbiont surface
GO:0051858	BP	obsolete avoidance of symbiont defenses
GO:0051859	BP	obsolete suppression of symbiont defenses
GO:0051860	BP	obsolete evasion or tolerance of symbiont defenses
GO:0051863	BP	obsolete translocation of DNA into symbiont
GO:0051913	BP	regulation of synaptic plasticity by chemical substance
GO:0051914	BP	positive regulation of synaptic plasticity by chemical substance
GO:0051915	BP	induction of synaptic plasticity by chemical substance
GO:0051925	BP	obsolete regulation of calcium ion transport via voltage-gated calcium channel activity
GO:0051927	BP	obsolete negative regulation of calcium ion transport via voltage-gated calcium channel activity
GO:0051929	BP	obsolete positive regulation of calcium ion transport via voltage-gated calcium channel activity
GO:0051932	BP	synaptic transmission, GABAergic 
GO:0051934	BP	catecholamine uptake involved in synaptic transmission
GO:0051940	BP	regulation of catecholamine uptake involved in synaptic transmission
GO:0051941	BP	regulation of amino acid uptake involved in synaptic transmission
GO:0051942	BP	negative regulation of amino acid uptake involved in synaptic transmission
GO:0051943	BP	positive regulation of amino acid uptake involved in synaptic transmission
GO:0051944	BP	positive regulation of catecholamine uptake involved in synaptic transmission
GO:0051945	BP	negative regulation of catecholamine uptake involved in synaptic transmission
GO:0051963	BP	regulation of synapse assembly
GO:0051964	BP	negative regulation of synapse assembly
GO:0051965	BP	positive regulation of synapse assembly
GO:0051966	BP	regulation of synaptic transmission, glutamatergic 
GO:0051967	BP	negative regulation of synaptic transmission, glutamatergic 
GO:0051968	BP	positive regulation of synaptic transmission, glutamatergic 
GO:0052007	BP	obsolete biosynthesis by symbiont of substance in host
GO:0052033	BP	obsolete pathogen-associated molecular pattern dependent induction by symbiont of host innate immune response
GO:0052035	BP	obsolete positive regulation by symbiont of host inflammatory response
GO:0052046	BP	obsolete modification by symbiont of host morphology or physiology via secreted substance
GO:0052047	BP	obsolete symbiotic process mediated by secreted substance
GO:0052048	BP	obsolete interaction with host via secreted substance
GO:0052049	BP	obsolete interaction with host via protein secreted by type III secretion system
GO:0052050	BP	obsolete interaction with host via substance secreted by type IV secretion system
GO:0052051	BP	obsolete interaction with host via protein secreted by type II secretion system
GO:0052052	BP	obsolete modification by symbiont of host morphology or physiology via protein secreted by type II secretion system
GO:0052057	BP	obsolete modification by symbiont of host morphology or physiology via protein secreted by type III secretion system
GO:0052058	BP	obsolete modification by symbiont of host morphology or physiology via substance secreted by type IV secretion system
GO:0052066	BP	obsolete entry of symbiont into host cell by promotion of host phagocytosis
GO:0052097	BP	obsolete interspecies quorum sensing
GO:0052100	BP	obsolete intraspecies quorum sensing
GO:0052105	BP	obsolete induction by symbiont of defense-related host cell wall thickening
GO:0052106	BP	obsolete quorum sensing involved in interaction with host
GO:0052108	BP	obsolete growth or development of symbiont during interaction with host
GO:0052109	BP	obsolete induction by symbiont of defense-related host cell wall callose deposition
GO:0052110	BP	obsolete occlusion by symbiont of host vascular system
GO:0052113	BP	obsolete adaptation to host osmotic environment
GO:0052114	BP	obsolete adaptation to host pH environment
GO:0052115	BP	obsolete energy taxis in host environment
GO:0052116	BP	obsolete chemotaxis in host environment
GO:0052117	BP	obsolete aerotaxis in host environment
GO:0052118	BP	obsolete positive energy taxis in host environment
GO:0052119	BP	obsolete negative energy taxis in host environment
GO:0052120	BP	obsolete positive aerotaxis in host environment
GO:0052121	BP	obsolete positive chemotaxis in host environment
GO:0052122	BP	obsolete negative aerotaxis in host environment
GO:0052123	BP	obsolete negative chemotaxis in host environment
GO:0052124	BP	obsolete energy taxis within host
GO:0052125	BP	obsolete energy taxis on or near host
GO:0052127	BP	obsolete movement on or near host
GO:0052132	BP	obsolete positive aerotaxis on or near host
GO:0052133	BP	obsolete positive aerotaxis in host
GO:0052134	BP	obsolete negative aerotaxis on or near host
GO:0052135	BP	obsolete negative aerotaxis in host
GO:0052136	BP	obsolete negative chemotaxis on or near host
GO:0052137	BP	obsolete aerotaxis in host
GO:0052138	BP	obsolete aerotaxis on or near host
GO:0052139	BP	obsolete negative chemotaxis in host
GO:0052140	BP	obsolete positive chemotaxis in host
GO:0052141	BP	obsolete positive chemotaxis on or near host
GO:0052142	BP	obsolete chemotaxis within host
GO:0052143	BP	obsolete chemotaxis on or near host involved in symbiotic interaction
GO:0052144	BP	obsolete negative energy taxis in host
GO:0052145	BP	obsolete negative energy taxis on or near host
GO:0052146	BP	obsolete positive energy taxis on or near host
GO:0052147	BP	obsolete positive energy taxis in host
GO:0052157	BP	obsolete modulation by symbiont of microbe-associated molecular pattern-induced host innate immune response
GO:0052161	BP	obsolete modulation by symbiont of defense-related host cell wall thickening
GO:0052163	BP	obsolete symbiont defense to host-produced nitric oxide
GO:0052169	BP	obsolete pathogen-associated molecular pattern dependent modulation by symbiont of host innate immune response
GO:0052171	BP	obsolete growth or development during symbiotic interaction
GO:0052181	BP	obsolete modulation by host of symbiont defense response
GO:0052182	BP	obsolete modification by host of symbiont morphology or physiology via secreted substance
GO:0052184	BP	obsolete modulation by organism of symbiont hormone or growth regulator levels
GO:0052189	BP	obsolete modulation by symbiont of defense-related host cell wall callose deposition
GO:0052190	BP	obsolete modulation by symbiont of host phagocytosis
GO:0052191	BP	obsolete positive regulation by symbiont of host phagocytosis
GO:0052192	BP	obsolete movement in environment of other organism involved in symbiotic interaction
GO:0052193	BP	obsolete movement in symbiont environment
GO:0052194	BP	obsolete movement on or near symbiont
GO:0052195	BP	obsolete movement on or near other organism involved in symbiotic interaction
GO:0052196	BP	obsolete negative regulation by host of symbiont defense response
GO:0052197	BP	obsolete positive regulation by host of symbiont defense response
GO:0052202	BP	obsolete negative regulation by symbiont of defense-related host cell wall callose deposition
GO:0052206	BP	obsolete modification of morphology or physiology of other organism via protein secreted by type II secretion system involved in symbiotic interaction
GO:0052207	BP	obsolete modification of morphology or physiology of other organism via protein secreted by type III secretion system involved in symbiotic interaction
GO:0052208	BP	obsolete modification of morphology or physiology of other organism via substance secreted by type IV secretion system involved in symbiotic interaction
GO:0052209	BP	obsolete interaction with other organism via substance secreted by type IV secretion system involved in symbiotic interaction
GO:0052210	BP	obsolete interaction with other organism via protein secreted by type III secretion system involved in symbiotic interaction
GO:0052211	BP	obsolete interaction with other organism via protein secreted by type II secretion system involved in symbiotic interaction
GO:0052212	BP	obsolete modification of morphology or physiology of other organism via secreted substance involved in symbiotic interaction
GO:0052213	BP	obsolete interaction with symbiont via secreted substance
GO:0052215	BP	obsolete energy taxis in environment of other organism involved in symbiotic interaction
GO:0052216	BP	obsolete chemotaxis in environment of other organism involved in symbiotic interaction
GO:0052217	BP	obsolete aerotaxis in environment of other organism involved in symbiotic interaction
GO:0052218	BP	obsolete positive energy taxis in environment of other organism involved in symbiotic interaction
GO:0052219	BP	obsolete negative energy taxis in environment of other organism involved in symbiotic interaction
GO:0052220	BP	obsolete positive aerotaxis in environment of other organism involved in symbiotic interaction
GO:0052221	BP	obsolete positive chemotaxis in environment of other organism involved in symbiotic interaction
GO:0052222	BP	obsolete negative aerotaxis in environment of other organism involved in symbiotic interaction
GO:0052223	BP	obsolete negative chemotaxis in environment of other organism involved in symbiotic interaction
GO:0052224	BP	obsolete energy taxis in other organism involved in symbiotic interaction
GO:0052225	BP	obsolete energy taxis on or near other organism involved in symbiotic interaction
GO:0052226	BP	obsolete biosynthesis of substance in other organism involved in symbiotic interaction
GO:0052231	BP	obsolete modulation of phagocytosis in other organism involved in symbiotic interaction
GO:0052232	BP	obsolete positive aerotaxis on or near other organism involved in symbiotic interaction
GO:0052233	BP	obsolete positive aerotaxis in other organism involved in symbiotic interaction
GO:0052234	BP	obsolete negative aerotaxis on or near other organism involved in symbiotic interaction
GO:0052235	BP	obsolete negative aerotaxis in other organism involved in symbiotic interaction
GO:0052236	BP	obsolete negative chemotaxis on or near other organism involved in symbiotic interaction
GO:0052237	BP	obsolete aerotaxis in other organism involved in symbiotic interaction
GO:0052238	BP	obsolete aerotaxis on or near other organism involved in symbiotic interaction
GO:0052239	BP	obsolete negative chemotaxis in other organism involved in symbiotic interaction
GO:0052240	BP	obsolete positive chemotaxis in other organism involved in symbiotic interaction
GO:0052241	BP	obsolete positive chemotaxis on or near other organism involved in symbiotic interaction
GO:0052242	BP	obsolete chemotaxis in other organism involved in symbiotic interaction
GO:0052243	BP	obsolete chemotaxis on or near other organism involved in symbiotic interaction
GO:0052244	BP	obsolete negative energy taxis in other organism involved in symbiotic interaction
GO:0052245	BP	obsolete negative energy taxis on or near other organism involved in symbiotic interaction
GO:0052246	BP	obsolete positive energy taxis on or near other organism involved in symbiotic interaction
GO:0052247	BP	obsolete positive energy taxis in other organism involved in symbiotic interaction
GO:0052257	BP	obsolete pathogen-associated molecular pattern dependent induction by organism of innate immune response of other organism involved in symbiotic interaction
GO:0052259	BP	obsolete positive regulation by symbiont of host inflammatory response
GO:0052270	BP	obsolete induction by symbiont of defense-related host salicylic acid-mediated signal transduction pathway
GO:0052274	BP	obsolete induction by symbiont of host ethylene-mediated defense response
GO:0052276	BP	obsolete induction by symbiont of defense-related host MAP kinase-mediated signal transduction pathway
GO:0052292	BP	obsolete induction by symbiont of defense-related host cell wall callose deposition
GO:0052296	BP	obsolete modulation by symbiont of microbe-associated molecular pattern-induced host innate immune response
GO:0052300	BP	obsolete modulation by symbiont of defense-related host cell wall thickening
GO:0052308	BP	obsolete pathogen-associated molecular pattern dependent modulation by organism of innate immune response in other organism involved in symbiotic interaction
GO:0052310	BP	obsolete modulation by symbiont of defense-related host cell wall callose deposition
GO:0052311	BP	obsolete negative regulation by symbiont of defense-related host cell wall callose deposition
GO:0052326	BP	obsolete interaction with symbiont via protein secreted by type IV secretion system
GO:0052327	BP	obsolete interaction with symbiont via protein secreted by type II secretion system
GO:0052328	BP	obsolete interaction with symbiont via protein secreted by type III secretion system
GO:0052343	BP	obsolete positive regulation by organism of symbiont phytoalexin production
GO:0052346	BP	obsolete positive regulation by organism of defense-related symbiont nitric oxide production
GO:0052347	BP	obsolete induction by symbiont of defense-related host nitric oxide production
GO:0052349	BP	obsolete positive regulation by organism of defense-related symbiont reactive oxygen species production
GO:0052350	BP	obsolete induction by organism of induced systemic resistance in symbiont
GO:0052351	BP	obsolete induction by organism of systemic acquired resistance in symbiont
GO:0052352	BP	obsolete biosynthesis by host of substance in symbiont
GO:0052374	BP	obsolete negative regulation by symbiont of entry into host
GO:0052375	BP	obsolete evasion or tolerance by organism of symbiont-produced nitric oxide
GO:0052377	BP	obsolete evasion or tolerance by organism of symbiont-produced phytoalexins
GO:0052379	BP	obsolete modulation by organism of entry into other organism via phagocytosis involved in symbiotic interaction
GO:0052383	BP	obsolete induction by organism of symbiont innate immunity
GO:0052384	BP	obsolete evasion or tolerance by organism of symbiont-produced reactive oxygen species
GO:0052387	BP	obsolete induction by organism of symbiont apoptosis
GO:0052392	BP	obsolete induction by organism of defense-related symbiont calcium ion flux
GO:0052393	BP	obsolete induction by host of symbiont defense response
GO:0052394	BP	obsolete induction by organism of defense-related symbiont cell wall thickening
GO:0052395	BP	obsolete induction by organism of defense-related symbiont nitric oxide production
GO:0052396	BP	obsolete induction by organism of symbiont non-apoptotic programmed cell death
GO:0052398	BP	obsolete induction by organism of symbiont phytoalexin production
GO:0052399	BP	obsolete induction by organism of symbiont programmed cell death
GO:0052401	BP	obsolete induction by organism of defense-related symbiont reactive oxygen species production
GO:0052402	BP	obsolete induction by organism of symbiont resistance gene-dependent defense response
GO:0052424	BP	obsolete modification by organism of symbiont morphology or physiology via protein secreted by type III secretion system
GO:0052425	BP	obsolete modification by organism of symbiont morphology or physiology via protein secreted by type II secretion system
GO:0052426	BP	obsolete modification by organism of symbiont morphology or physiology via substance secreted by type IV secretion system
GO:0052429	BP	obsolete modulation by organism of symbiont B-cell mediated immune response
GO:0052431	BP	obsolete modulation by organism of symbiont T-cell mediated immune response
GO:0052432	BP	obsolete modulation by organism of symbiont apoptosis
GO:0052434	BP	obsolete modulation by organism of symbiont cell-mediated immune response
GO:0052435	BP	obsolete modulation by host of defense-related symbiont MAP kinase-mediated signal transduction pathway
GO:0052436	BP	obsolete modulation by organism of defense-related symbiont calcium-dependent protein kinase pathway
GO:0052437	BP	obsolete modulation by organism of defense-related symbiont calcium ion flux
GO:0052438	BP	obsolete modulation by organism of defense-related symbiont callose deposition
GO:0052439	BP	obsolete modulation by organism of defense-related symbiont cell wall callose deposition
GO:0052440	BP	obsolete modulation by organism of defense-related symbiont ethylene-mediated signal transduction pathway
GO:0052442	BP	obsolete modulation by organism of defense-related symbiont jasmonic acid-mediated signal transduction pathway
GO:0052444	BP	obsolete modulation by organism of defense-related symbiont salicylic acid-mediated signal transduction pathway
GO:0052446	BP	obsolete modulation by organism of defense-related symbiont cell wall thickening
GO:0052447	BP	obsolete modulation by organism of symbiont ethylene-mediated defense response
GO:0052448	BP	obsolete modulation by organism of ethylene levels in symbiont
GO:0052450	BP	obsolete modulation by organism of induced systemic resistance in symbiont
GO:0052451	BP	obsolete modulation by organism of symbiont inflammatory response
GO:0052452	BP	obsolete modulation by organism of symbiont innate immunity
GO:0052453	BP	obsolete modulation by organism of symbiont intracellular transport
GO:0052454	BP	obsolete modulation by organism of symbiont jasmonic acid-mediated defense response
GO:0052455	BP	obsolete modulation by organism of jasmonic acid levels in symbiont
GO:0052457	BP	obsolete modulation by organism of defense-related symbiont nitric oxide production
GO:0052458	BP	obsolete modulation by organism of symbiont non-apoptotic programmed cell death
GO:0052461	BP	obsolete modulation by organism of pathogen-associated molecular pattern-induced symbiont innate immunity
GO:0052462	BP	obsolete modulation by host of symbiont phagocytosis
GO:0052463	BP	obsolete modulation by organism of symbiont phytoalexin production
GO:0052464	BP	obsolete modulation by organism of symbiont programmed cell death
GO:0052465	BP	obsolete modulation by organism of defense-related symbiont reactive oxygen species production
GO:0052466	BP	obsolete modulation by organism of symbiont resistance gene-dependent defense response
GO:0052467	BP	obsolete modulation by organism of symbiont salicylic acid-mediated defense response
GO:0052468	BP	obsolete modulation by organism of salicylic acid levels in symbiont
GO:0052470	BP	obsolete modulation by host of symbiont signal transduction pathway
GO:0052471	BP	obsolete modulation by organism of systemic acquired resistance in symbiont
GO:0052473	BP	obsolete negative regulation by organism of symbiont B-cell mediated immune response
GO:0052474	BP	obsolete negative regulation by organism of symbiont T-cell mediated immune response
GO:0052475	BP	obsolete negative regulation by organism of symbiont cell-mediated immune response
GO:0052476	BP	obsolete negative regulation by organism of defense-related symbiont MAP kinase-mediated signal transduction pathway
GO:0052477	BP	obsolete negative regulation by organism of defense-related symbiont callose deposition
GO:0052478	BP	obsolete negative regulation by organism of defense-related symbiont cell wall callose deposition
GO:0052479	BP	obsolete negative regulation by organism of defense-related symbiont ethylene-mediated signal transduction pathway
GO:0052480	BP	obsolete negative regulation by organism of defense-related symbiont jasmonic acid-mediated signal transduction pathway
GO:0052481	BP	obsolete negative regulation by organism of defense-related symbiont salicylic acid-mediated signal transduction pathway
GO:0052484	BP	obsolete negative regulation by organism of symbiont ethylene-mediated defense response
GO:0052485	BP	obsolete negative regulation by organism of symbiont inflammatory response
GO:0052486	BP	obsolete negative regulation by organism of symbiont innate immunity
GO:0052487	BP	obsolete negative regulation by organism of symbiont jasmonic acid-mediated defense response
GO:0052488	BP	obsolete negative regulation by organism of pathogen-associated molecular pattern-induced symbiont innate immunity
GO:0052491	BP	obsolete negative regulation by organism of symbiont salicylic acid-mediated defense response
GO:0052492	BP	obsolete negative regulation by host of symbiont signal transduction pathway
GO:0052494	BP	obsolete occlusion by host of symbiont vascular system
GO:0052495	BP	obsolete occlusion by organism of vascular system in other organism involved in symbiotic interaction
GO:0052496	BP	obsolete occlusion by host of symbiont xylem
GO:0052497	BP	obsolete occlusion by organism of xylem in other organism involved in symbiotic interaction
GO:0052498	BP	obsolete pathogen-associated molecular pattern dependent induction by organism of symbiont innate immunity
GO:0052499	BP	obsolete pathogen-associated molecular pattern dependent modulation by organism of symbiont innate immunity
GO:0052500	BP	obsolete positive regulation by organism of symbiont apoptosis
GO:0052502	BP	obsolete positive regulation by host of defense-related symbiont MAP kinase-mediated signal transduction pathway
GO:0052503	BP	obsolete positive regulation by organism of defense-related symbiont calcium-dependent protein kinase pathway
GO:0052504	BP	obsolete positive regulation by organism of defense-related symbiont callose deposition
GO:0052505	BP	obsolete positive regulation by organism of defense-related symbiont cell wall callose deposition
GO:0052506	BP	obsolete positive regulation by organism of defense-related symbiont ethylene-mediated signal transduction pathway
GO:0052507	BP	obsolete positive regulation by organism of defense-related symbiont jasmonic acid-mediated signal transduction pathway
GO:0052508	BP	obsolete positive regulation by organism of defense-related symbiont salicylic acid-mediated signal transduction pathway
GO:0052511	BP	obsolete positive regulation by organism of symbiont ethylene-mediated defense response
GO:0052512	BP	obsolete positive regulation by organism of hormone or growth regulator levels in symbiont
GO:0052514	BP	obsolete positive regulation by organism of symbiont inflammatory response
GO:0052515	BP	obsolete positive regulation by organism of symbiont innate immunity
GO:0052516	BP	obsolete positive regulation by organism of symbiont jasmonic acid-mediated defense response
GO:0052517	BP	obsolete positive regulation by organism of symbiont non-apoptotic programmed cell death
GO:0052520	BP	obsolete positive regulation by organism of nutrient release from other organism involved in symbiotic interaction
GO:0052521	BP	obsolete positive regulation by host of symbiont phagocytosis
GO:0052522	BP	obsolete positive regulation by organism of phagocytosis in other organism involved in symbiotic interaction
GO:0052523	BP	obsolete positive regulation by organism of symbiont programmed cell death
GO:0052524	BP	obsolete positive regulation by organism of symbiont salicylic acid-mediated defense response
GO:0052525	BP	obsolete positive regulation by host of symbiont signal transduction pathway
GO:0052528	BP	obsolete upregulation by organism of symbiont programmed cell death
GO:0052530	BP	obsolete positive regulation by organism of symbiont resistance gene-dependent defense response
GO:0052531	BP	obsolete positive regulation by organism of defense-related symbiont calcium ion flux
GO:0052534	BP	obsolete positive regulation by organism of induced systemic resistance in symbiont
GO:0052536	BP	obsolete positive regulation by organism of systemic acquired resistance in symbiont
GO:0052539	BP	obsolete induction by symbiont of defense-related host cell wall thickening
GO:0052540	BP	obsolete positive regulation by organism of defense-related symbiont cell wall thickening
GO:0052554	BP	obsolete modulation by organism of symbiont immune response
GO:0052557	BP	obsolete positive regulation by organism of symbiont immune response
GO:0052560	BP	obsolete induction by organism of symbiont immune response
GO:0052563	BP	obsolete negative regulation by organism of symbiont immune response
GO:0052565	BP	obsolete symbiont defense to host-produced nitric oxide
GO:0052568	BP	obsolete response to symbiont phytoalexin production
GO:0052569	BP	obsolete response to defense-related symbiont nitric oxide production
GO:0052570	BP	obsolete response to defense-related symbiont reactive oxygen species production
GO:0052571	BP	obsolete response to symbiont immune response
GO:0052583	MF	obsolete oxidoreductase activity, acting on halogen in donors 
GO:0052584	MF	obsolete oxidoreductase activity, acting on halogen in donors, with NAD or NADP as acceptor 
GO:0052590	MF	obsolete sn-glycerol-3-phosphate:ubiquinone oxidoreductase activity
GO:0052591	MF	obsolete sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity
GO:0052666	MF	obsolete tRNA (cytosine-2'-O-)-methyltransferase activity
GO:0052711	BP	obsolete ergothioneine biosynthesis from N-alpha,N-alpha,N-alpha-trimethyl-L-histidine 
GO:0052721	BP	obsolete regulation of apurinic/apyrimidinic endodeoxyribonuclease activity
GO:0052812	MF	obsolete 1-phosphatidylinositol-3,4-bisphosphate 5-kinase activity 
GO:0052813	MF	obsolete phosphatidylinositol bisphosphate kinase activity
GO:0052888	MF	obsolete dihydroorotate oxidase (fumarate) activity
GO:0055001	BP	muscle cell development
GO:0055002	BP	striated muscle cell development
GO:0055003	BP	cardiac myofibril assembly
GO:0055004	BP	atrial cardiac myofibril assembly
GO:0055005	BP	ventricular cardiac myofibril assembly
GO:0055006	BP	cardiac cell development
GO:0055007	BP	cardiac muscle cell differentiation
GO:0055008	BP	cardiac muscle tissue morphogenesis
GO:0055009	BP	atrial cardiac muscle tissue morphogenesis
GO:0055010	BP	ventricular cardiac muscle tissue morphogenesis
GO:0055011	BP	atrial cardiac muscle cell differentiation
GO:0055012	BP	ventricular cardiac muscle cell differentiation
GO:0055013	BP	cardiac muscle cell development
GO:0055014	BP	atrial cardiac muscle cell development
GO:0055015	BP	ventricular cardiac muscle cell development
GO:0055017	BP	cardiac muscle tissue growth
GO:0055018	BP	regulation of cardiac muscle fiber development
GO:0055019	BP	negative regulation of cardiac muscle fiber development
GO:0055020	BP	positive regulation of cardiac muscle fiber development
GO:0055021	BP	regulation of cardiac muscle tissue growth
GO:0055022	BP	negative regulation of cardiac muscle tissue growth
GO:0055023	BP	positive regulation of cardiac muscle tissue growth
GO:0055024	BP	regulation of cardiac muscle tissue development
GO:0055025	BP	positive regulation of cardiac muscle tissue development
GO:0055026	BP	negative regulation of cardiac muscle tissue development
GO:0055036	CC	virion membrane
GO:0055061	BP	obsolete di-, tri-valent inorganic anion homeostasis 
GO:0055066	BP	obsolete di-, tri-valent inorganic cation homeostasis 
GO:0055069	BP	obsolete zinc ion homeostasis
GO:0055076	BP	obsolete transition metal ion homeostasis
GO:0055101	MF	obsolete glycerophospholipase inhibitor activity
GO:0055114	BP	obsolete oxidation-reduction process
GO:0055117	BP	regulation of cardiac muscle contraction
GO:0055118	BP	negative regulation of cardiac muscle contraction
GO:0055119	BP	relaxation of cardiac muscle
GO:0055120	CC	striated muscle dense body
GO:0055124	BP	obsolete premature neural plate formation
GO:0055125	CC	obsolete Nic96 complex
GO:0055126	CC	obsolete Nup82 complex
